unixtime,datetime,temperature,humidity
1485927901.6,"2017/02/01 14:45:01",24.162051,31.525139
1485928201.5,"2017/02/01 14:50:01",24.081483,31.311513
1485928502.2,"2017/02/01 14:55:02",24.031128,31.506828
1485928801.69,"2017/02/01 15:00:01",24.061341,31.219959
1485929101.5,"2017/02/01 15:05:01",24.081483,31.702144
1485929401.36,"2017/02/01 15:10:01",24.111696,31.714351
1485929702.14,"2017/02/01 15:15:02",24.05127,31.219959
1485930001.65,"2017/02/01 15:20:01",23.980774,31.219959
1485930301.5,"2017/02/01 15:25:01",23.920348,31.604486
1485930601.38,"2017/02/01 15:30:01",23.880064,31.702144
1485930902.18,"2017/02/01 15:35:02",23.83978,31.506828
1485931201.27,"2017/02/01 15:40:01",23.739071,31.879149
1485931501.41,"2017/02/01 15:45:01",23.608148,33.038834
1485931802.17,"2017/02/01 15:50:02",23.547723,34.003204
1485932101.92,"2017/02/01 15:55:01",23.467155,34.583047
1485932402.14,"2017/02/01 16:00:02",23.406729,34.680705
1485932701.84,"2017/02/01 16:05:01",23.396658,36.12726
1485933001.55,"2017/02/01 16:10:01",23.30602,36.011292
1485933301.4,"2017/02/01 16:15:01",23.30602,36.78645
1485933601.79,"2017/02/01 16:20:01",23.30602,37.75082
1485933902.09,"2017/02/01 16:25:02",23.30602,38.525978
1485934201.61,"2017/02/01 16:30:01",23.255665,38.141451
1485934501.47,"2017/02/01 16:35:01",23.20531,38.043793
1485934801.73,"2017/02/01 16:40:01",23.175097,36.591135
1485935101.39,"2017/02/01 16:45:01",23.09453,35.724422
1485935401.55,"2017/02/01 16:50:01",23.024033,34.85771
1485935701.72,"2017/02/01 16:55:01",22.963607,33.972686
1485936001.94,"2017/02/01 17:00:01",22.852827,32.813001
1485936301.72,"2017/02/01 17:05:01",22.752117,32.037842
1485936601.6,"2017/02/01 17:10:01",22.691691,32.715343
1485936901.62,"2017/02/01 17:15:01",22.631266,33.392844
1485937201.49,"2017/02/01 17:20:01",22.550698,33.856718
1485937502.23,"2017/02/01 17:25:02",22.540627,34.052033
1485937801.35,"2017/02/01 17:30:01",22.500343,34.625772
1485938101.99,"2017/02/01 17:35:01",22.47013,34.534218
1485938401.78,"2017/02/01 17:40:01",22.439918,34.72343
1485938701.63,"2017/02/01 17:45:01",22.389563,35.498589
1485939001.8,"2017/02/01 17:50:01",22.349279,36.072328
1485939301.46,"2017/02/01 17:55:01",22.329137,36.945144
1485939601.98,"2017/02/01 18:00:01",22.298924,36.365301
1485939901.31,"2017/02/01 18:05:01",22.25864,36.554513
1485940201.49,"2017/02/01 18:10:01",22.248569,35.980774
1485940502.15,"2017/02/01 18:15:02",22.228428,35.303273
1485940802.0,"2017/02/01 18:20:01",22.198215,36.554513
1485941101.93,"2017/02/01 18:25:01",22.168002,34.613565
1485941401.64,"2017/02/01 18:30:01",22.14786,36.829175
1485941701.34,"2017/02/01 18:35:01",22.127718,38.080415
1485942001.79,"2017/02/01 18:40:01",22.097505,37.213703
1485942302.03,"2017/02/01 18:45:02",22.057221,37.024491
1485942601.46,"2017/02/01 18:50:01",22.057221,36.249332
1485942901.63,"2017/02/01 18:55:01",22.037079,36.444648
1485943201.86,"2017/02/01 19:00:01",21.996796,37.500572
1485943502.0,"2017/02/01 19:05:01",22.016938,41.455711
1485943801.74,"2017/02/01 19:10:01",22.077363,43.097581
1485944101.58,"2017/02/01 19:15:01",22.097505,44.733349
1485944401.92,"2017/02/01 19:20:01",22.037079,43.286793
1485944701.68,"2017/02/01 19:25:01",22.037079,43.286793
